"","row","col","value"
"68","Brownlowia tersa (L.) Kosterm ","Avicennia alba Blume",73.192453793852
"69","Acanthus ilicifolius Linnaeus","Avicennia marina (Forsk.) Vierh",21.9730583841415
"70","Avicennia alba Blume","Avicennia marina (Forsk.) Vierh",17.7402879305392
"71","Avicennia marina (Forsk.) Vierh","Avicennia marina (Forsk.) Vierh",0
"72","Avicennia officinalis L.","Avicennia marina (Forsk.) Vierh",17.7402879305392
"73","Nypa fruticans (Thunb.) Wurmb. ","Avicennia marina (Forsk.) Vierh",73.192453793852
"74","Lumnitzera racemosa Willd.","Avicennia marina (Forsk.) Vierh",73.192453793852
"75","Exocoecaria agallocha L.","Avicennia marina (Forsk.) Vierh",73.192453793852
"76","Cynometra ramiflora L.","Avicennia marina (Forsk.) Vierh",73.192453793852
"77","Sonneratia alba J. Smith","Avicennia marina (Forsk.) Vierh",73.192453793852
"78","Sonneratia caeseolaris (L.) Engl.","Avicennia marina (Forsk.) Vierh",73.192453793852
"79","sonneratia apetala Buch. - Ham","Avicennia marina (Forsk.) Vierh",73.192453793852
"80","Sonneratia griffithi Kurz ","Avicennia marina (Forsk.) Vierh",73.192453793852
"81","Heritiera globosa Kostermans","Avicennia marina (Forsk.) Vierh",73.192453793852
"82","Heritiera fomes Buch.-Ham","Avicennia marina (Forsk.) Vierh",73.192453793852
"83","Heritiera littoralis Dryand","Avicennia marina (Forsk.) Vierh",73.192453793852
"84","Xylocarpus granatum J. Konig","Avicennia marina (Forsk.) Vierh",73.192453793852
"85","Xylocarpus mekongensis Pierre. ","Avicennia marina (Forsk.) Vierh",73.192453793852
"86","Xylocarpus moluccensis (Lamk.)","Avicennia marina (Forsk.) Vierh",73.192453793852
"87","Phoenix paludosa Roxb.","Avicennia marina (Forsk.) Vierh",100
"88","Aegialitis rotundifolia Roxb.","Avicennia marina (Forsk.) Vierh",73.192453793852
"89","Aegiceras corniculatum (L.) Blanco","Avicennia marina (Forsk.) Vierh",73.192453793852
"90","Acrostichum aureum L.","Avicennia marina (Forsk.) Vierh",100
"91","Bruguiera cylindrica (L.) Blume","Avicennia marina (Forsk.) Vierh",73.192453793852
"92","Bruguiera gymnorrhiza (L.) Savigny","Avicennia marina (Forsk.) Vierh",73.192453793852
"93","Bruguiera sexangula (Lour.) Poir.","Avicennia marina (Forsk.) Vierh",73.192453793852
"94","Bruguiera parviflora","Avicennia marina (Forsk.) Vierh",73.192453793852
"95","Ceriops decandra (Griff) Ding Hou","Avicennia marina (Forsk.) Vierh",73.192453793852
"96","Ceriops tagal (Perr. C. B. Roby)","Avicennia marina (Forsk.) Vierh",73.192453793852
"97","Kandelia candel Druce","Avicennia marina (Forsk.) Vierh",73.192453793852
"98","Rhizophora apiculata Blume","Avicennia marina (Forsk.) Vierh",73.192453793852
"99","Rhizophorata mucronata Lamk","Avicennia marina (Forsk.) Vierh",73.192453793852
"100","Rhizophora annamalayana Kathiresan","Avicennia marina (Forsk.) Vierh",73.192453793852
"101","Scyphiphora hydrophyllacea C. F. Gaertn","Avicennia marina (Forsk.) Vierh",73.192453793852
"102","Brownlowia tersa (L.) Kosterm ","Avicennia marina (Forsk.) Vierh",73.192453793852
"103","Acanthus ilicifolius Linnaeus","Avicennia officinalis L.",21.9730583841415
"104","Avicennia alba Blume","Avicennia officinalis L.",17.7402879305392
"105","Avicennia marina (Forsk.) Vierh","Avicennia officinalis L.",17.7402879305392
"106","Avicennia officinalis L.","Avicennia officinalis L.",0
"107","Nypa fruticans (Thunb.) Wurmb. ","Avicennia officinalis L.",73.192453793852
"108","Lumnitzera racemosa Willd.","Avicennia officinalis L.",73.192453793852
"109","Exocoecaria agallocha L.","Avicennia officinalis L.",73.192453793852
"110","Cynometra ramiflora L.","Avicennia officinalis L.",73.192453793852
"111","Sonneratia alba J. Smith","Avicennia officinalis L.",73.192453793852
"112","Sonneratia caeseolaris (L.) Engl.","Avicennia officinalis L.",73.192453793852
"113","sonneratia apetala Buch. - Ham","Avicennia officinalis L.",73.192453793852
"114","Sonneratia griffithi Kurz ","Avicennia officinalis L.",73.192453793852
"115","Heritiera globosa Kostermans","Avicennia officinalis L.",73.192453793852
"116","Heritiera fomes Buch.-Ham","Avicennia officinalis L.",73.192453793852
"117","Heritiera littoralis Dryand","Avicennia officinalis L.",73.192453793852
"118","Xylocarpus granatum J. Konig","Avicennia officinalis L.",73.192453793852
"119","Xylocarpus mekongensis Pierre. ","Avicennia officinalis L.",73.192453793852
"120","Xylocarpus moluccensis (Lamk.)","Avicennia officinalis L.",73.192453793852
"121","Phoenix paludosa Roxb.","Avicennia officinalis L.",100
"122","Aegialitis rotundifolia Roxb.","Avicennia officinalis L.",73.192453793852
"123","Aegiceras corniculatum (L.) Blanco","Avicennia officinalis L.",73.192453793852
"124","Acrostichum aureum L.","Avicennia officinalis L.",100
"125","Bruguiera cylindrica (L.) Blume","Avicennia officinalis L.",73.192453793852
"126","Bruguiera gymnorrhiza (L.) Savigny","Avicennia officinalis L.",73.192453793852
"127","Bruguiera sexangula (Lour.) Poir.","Avicennia officinalis L.",73.192453793852
"128","Bruguiera parviflora","Avicennia officinalis L.",73.192453793852
"129","Ceriops decandra (Griff) Ding Hou","Avicennia officinalis L.",73.192453793852
"130","Ceriops tagal (Perr. C. B. Roby)","Avicennia officinalis L.",73.192453793852
"131","Kandelia candel Druce","Avicennia officinalis L.",73.192453793852
"132","Rhizophora apiculata Blume","Avicennia officinalis L.",73.192453793852
"133","Rhizophorata mucronata Lamk","Avicennia officinalis L.",73.192453793852
"134","Rhizophora annamalayana Kathiresan","Avicennia officinalis L.",73.192453793852
"135","Scyphiphora hydrophyllacea C. F. Gaertn","Avicennia officinalis L.",73.192453793852
"136","Brownlowia tersa (L.) Kosterm ","Avicennia officinalis L.",73.192453793852
"137","Acanthus ilicifolius Linnaeus","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"138","Avicennia alba Blume","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"139","Avicennia marina (Forsk.) Vierh","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"140","Avicennia officinalis L.","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"141","Nypa fruticans (Thunb.) Wurmb. ","Nypa fruticans (Thunb.) Wurmb. ",0
"142","Lumnitzera racemosa Willd.","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"143","Exocoecaria agallocha L.","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"144","Cynometra ramiflora L.","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
"145","Sonneratia alba J. Smith","Nypa fruticans (Thunb.) Wurmb. ",73.192453793852
