==================Summary==================
Number of Biclusters Generated : 60
Number of transactions : 22
Max memory : 2.2619781494140625 MB
Time taken : 417 ms
===========================================
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,Chamta,Matla,NetidhoPani,Phirkhali,Jhilla,Arbesi,Khatuajhuri,Harinbhaga,Herobhanga"
"SaltMarsh_Suaeda maritima ,SaltMarsh_Suaeda nudiflora,SaltMarsh_Tamarix dioica,SaltMarsh_Tamarix gallica,SaltMarsh_Tamarix troupii,True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,Chandkhali,NetidhoPani,Phirkhali,Jhilla,Arbesi,Khatuajhuri,Harinbhaga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,SaltMarsh_Salichornia brachiata,SaltMarsh_Suaeda nudiflora,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa,True Mangrove_Bruguiera cylindrica,True Mangrove_Bruguiera parviflora,True Mangrove_Ceriops tagal,Ture Mangrove_Avicennia marina,True Mangrove_Sonneratia griffithii,True Mangrove_Aegialitis rotundifolia","Bagmara,Gona"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,SaltMarsh_Suaeda nudiflora,SaltMarsh_Tamarix dioica,SaltMarsh_Tamarix gallica,SaltMarsh_Tamarix troupii,True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,NetidhoPani,Phirkhali,Jhilla,Arbesi,Khatuajhuri,Harinbhaga"
"SaltMarsh_Sesuvium portulacastrum,SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda nudiflora,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa,True Mangrove_Bruguiera cylindrica,True Mangrove_Bruguiera parviflora,True Mangrove_Ceriops tagal,Ture Mangrove_Avicennia marina,True Mangrove_Sonneratia griffithii,True Mangrove_Aegialitis rotundifolia","Gona,Murganga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,SaltMarsh_Tamarix dioica,SaltMarsh_Tamarix gallica,SaltMarsh_Tamarix troupii,True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,Matla,NetidhoPani,Phirkhali,Jhilla,Arbesi,Khatuajhuri,Harinbhaga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa","Panchmukhani,Chamta,Matla,NetidhoPani,Bagmara,Gona,Mayadwip,Chottohardi,Chulkati,Thakuran,Saptamukhi"
"SaltMarsh_Suaeda maritima ,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa","Panchmukhani,Chamta,Chandkhali,Matla,NetidhoPani,Bagmara,Gona,Mayadwip,Chottohardi,Chulkati,Thakuran,Saptamukhi"
"SaltMarsh_Aeluropus lagopoides ,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa,True Mangrove_Bruguiera cylindrica,True Mangrove_Bruguiera parviflora,True Mangrove_Ceriops tagal,Ture Mangrove_Avicennia marina,True Mangrove_Sonneratia griffithii,True Mangrove_Aegialitis rotundifolia","Bagmara,Gona,Mayadwip,Chottohardi,Chulkati,Thakuran,Saptamukhi,Murganga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda nudiflora,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa","Panchmukhani,NetidhoPani,Ajmalmari,Dhulibhasani,Bagmara,Gona,Chottohardi,Chulkati,Thakuran,Saptamukhi,Murganga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda nudiflora,SaltMarsh_Heliotrophium curassavicum,True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,NetidhoPani,Ajmalmari,Phirkhali,Jhilla,Arbesi,Herobhanga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,SaltMarsh_Suaeda nudiflora,SaltMarsh_Heliotrophium curassavicum,True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,NetidhoPani,Phirkhali,Jhilla,Arbesi,Herobhanga"
"SaltMarsh_Suaeda nudiflora,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa","Panchmukhani,Chandkhali,NetidhoPani,Ajmalmari,Dhulibhasani,Bagmara,Gona,Chottohardi,Chulkati,Thakuran,Saptamukhi,Murganga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,SaltMarsh_Suaeda nudiflora,SaltMarsh_Tamarix dioica,SaltMarsh_Tamarix gallica,SaltMarsh_Tamarix troupii,SaltMarsh_Heliotrophium curassavicum,True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,NetidhoPani,Phirkhali,Jhilla,Arbesi"
"SaltMarsh_Aeluropus lagopoides ,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa","Panchmukhani,Chamta,Matla,NetidhoPani,Ajmalmari,Dhulibhasani,Bagmara,Gona,Mayadwip,Chottohardi,Chulkati,Thakuran,Saptamukhi,Murganga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,SaltMarsh_Suaeda nudiflora,SaltMarsh_Heliotrophium curassavicum,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa,True Mangrove_Bruguiera cylindrica,True Mangrove_Bruguiera parviflora,True Mangrove_Ceriops tagal,Ture Mangrove_Avicennia marina,True Mangrove_Sonneratia griffithii,True Mangrove_Aegialitis rotundifolia","Chottohardi,Thakuran,Saptamukhi"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda nudiflora,SaltMarsh_Heliotrophium curassavicum,Mangrove Associates _Excoecaria agallocha,True Mangrove_Phoenix paludosa","Panchmukhani,NetidhoPani,Ajmalmari,Chottohardi,Thakuran,Saptamukhi,Phirkhali,Jhilla,Arbesi,Herobhanga"
"True Mangrove_Xylocarpus mekongensis,Ture Mangrove_Bruguiera  gymnorhiza,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia officinalis,True Mangrove_Phoenix paludosa","Panchmukhani,Chamta,Chandkhali,Matla,NetidhoPani,Ajmalmari,Dhulibhasani,Phirkhali,Jhilla,Goashaba,Arbesi,Khatuajhuri,Harinbhaga,Herobhanga"
"SaltMarsh_Aeluropus lagopoides ,Mangrove Associates _Excoecaria agallocha,True Mangrove_Phoenix paludosa","Panchmukhani,Chamta,Matla,NetidhoPani,Ajmalmari,Dhulibhasani,Bagmara,Gona,Mayadwip,Chottohardi,Chulkati,Thakuran,Saptamukhi,Murganga,Phirkhali,Jhilla,Arbesi,Khatuajhuri,Harinbhaga,Herobhanga"
"SaltMarsh_Aeluropus lagopoides ,SaltMarsh_Suaeda maritima ,SaltMarsh_Suaeda nudiflora,Mangrove Associates _Excoecaria agallocha,True Mangrove_Avicennia alba,True Mangrove_Phoenix paludosa,True Mangrove_Bruguiera cylindrica,True Mangrove_Bruguiera parviflora,True Mangrove_Ceriops tagal,Ture Mangrove_Avicennia marina,True Mangrove_Sonneratia griffithii,True Mangrove_Aegialitis rotundifolia","Bagmara,Gona,Chottohardi,Chulkati,Thakuran,Saptamukhi"
